indice_test,indice_original,etiqueta_real,decision_ensamble,ensamble_correcto,ind_correctos_de,tipo_discrepancia,texto_muestra,pred_ComplementNB,pred_LogisticRegression,pred_LinearSVM
949,12349,media,media,True,2/3,1-2 (alta-media),,media,alta,media
950,18707,media,media,True,2/3,1-2 (alta-media),,alta,media,media
951,18538,media,media,True,2/3,1-2 (alta-media),,alta,media,media
954,4108,media,media,True,2/3,1-2 (alta-media),,alta,media,media
955,18239,media,media,True,2/3,1-2 (alta-media),,alta,media,media
956,12260,media,media,True,2/3,1-2 (alta-media),,alta,media,media
957,14002,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
960,12586,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
968,15582,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
970,7038,media,media,True,2/3,1-2 (alta-media),,alta,media,media
971,1929,media,media,True,2/3,1-2 (alta-media),,alta,media,media
972,16450,media,media,True,2/3,1-2 (alta-media),,alta,media,media
978,13978,media,media,True,2/3,1-2 (alta-media),,media,alta,media
979,16297,media,media,True,2/3,1-2 (alta-media),,media,alta,media
982,7466,alta,media,False,2/3,2-1 (alta-media),,alta,alta,media
992,16300,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
996,16341,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
1002,9665,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
1005,14979,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1009,5077,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1012,10029,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1014,7879,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1016,12793,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
1020,1986,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1022,18876,media,media,True,2/3,1-2 (alta-media),,media,alta,media
1025,14264,media,alta,False,2/3,1-2 (alta-media),,media,alta,media
1028,10416,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1036,9918,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1040,16359,media,alta,False,2/3,1-2 (alta-media),,alta,media,media
1045,153,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
1046,6015,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
1052,1571,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1054,9318,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1055,7060,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1056,8527,alta,media,False,2/3,2-1 (alta-media),,media,alta,alta
1057,18633,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1059,10054,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
1067,4843,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1072,9869,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1078,240,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1080,3874,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1085,6317,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1086,13419,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1087,14647,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1088,18236,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
1089,5761,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1090,17341,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1091,7037,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
1093,10008,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1095,1243,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1097,12491,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1103,15357,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1106,4573,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1109,18858,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1112,10964,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1113,12927,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1115,169,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1117,1058,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1119,18308,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1125,17931,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1126,10679,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1127,7979,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1130,5502,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
1132,9520,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1133,7811,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
1134,17296,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1135,33,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1136,3636,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
1139,16814,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1143,13716,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
1145,13594,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1146,5777,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
1149,18497,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1155,1791,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1158,12210,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1166,6759,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1174,11570,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
1177,5416,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1183,13003,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1185,6014,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1188,2973,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1192,12217,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
1197,17895,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
1199,1257,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1201,8714,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
1205,8222,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
1209,13484,media,media,True,2/3,1-2 (alta-media),,media,alta,media
1211,5536,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1217,5858,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1219,3035,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1224,15443,media,media,True,2/3,1-2 (alta-media),,media,alta,media
1225,18111,alta,media,False,2/3,2-1 (alta-media),,alta,alta,media
1226,1368,media,media,True,2/3,1-2 (alta-media),,media,alta,media
1231,9054,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1233,15997,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1235,13342,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1236,7203,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1240,14961,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1245,1634,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
1246,5856,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1247,18889,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1254,9670,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1255,13754,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1256,4265,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1261,17326,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1265,10461,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
1269,2821,media,media,True,1/3,2-1 (alta-media),,media,alta,alta
1272,12429,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1276,12827,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1277,5382,alta,alta,True,1/3,1-2 (alta-media),,alta,media,media
1281,16964,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1300,16734,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1302,11102,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1303,3089,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1304,15120,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
1306,14714,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
1312,10520,alta,media,False,2/3,2-1 (alta-media),,media,alta,alta
1315,15203,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1329,4918,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
1330,7665,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
1336,8654,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1338,11046,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
1340,17897,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1344,9826,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1345,11710,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
1346,6222,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1355,14742,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1356,17589,alta,alta,True,1/3,1-2 (alta-media),,media,alta,media
1359,6651,media,media,True,2/3,1-2 (alta-media),,media,alta,media
1361,1360,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
1362,903,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1365,15152,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
1372,17119,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1377,10717,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1380,7929,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
1387,9972,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1392,13347,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
1398,7376,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
1399,9118,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
1401,4414,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1408,1156,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1410,16345,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
1411,9368,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1412,17826,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
1414,8940,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1415,4032,alta,media,False,2/3,2-1 (alta-media),,alta,alta,media
1422,5311,media,media,True,2/3,1-2 (alta-media),,alta,media,media
1423,9822,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
1427,11593,media,media,True,2/3,1-2 (alta-media),,alta,media,media
